23-68-93-721249-001-01 2111  69.9150.312    1
23-68-93-721249-001-01 3221  44.5151.212    1
23-68-93-721249-001-01 4221  18.2110.511    1
97-64-08-951250-001-01 121             2    1
97-64-08-951250-001-01 2111  53.6152.412    1
97-64-08-951250-001-01 3221  26.6134.812    1
97-64-08-951250-001-01 4221  11.6 94.21116.41
19-27-15-151252-001-01 121             2    1
19-27-15-151252-001-01 21121           2    1
19-27-15-151252-001-01 31121           2    1
19-27-15-151252-001-01 4111  42.3146.612    1
19-27-15-151252-001-01 5221  17.7117.512    1
72-75-35-981253-001-01 1111  77.5166.112    1
72-75-35-981253-001-01 2121  72.7165.812    1
72-75-35-981253-001-01 3111    56160.512    1
72-75-35-981253-001-01 4221    12   901116.51
68-42-25-671254-001-01 121             2    1
68-42-25-671254-001-01 2111  95.8159.712    1
68-42-25-671254-001-01 3111  53.3151.512    1
68-42-25-671254-001-01 421             2    1
68-42-25-671254-001-01 52221           2    1
68-42-25-671254-001-01 6221  33.2135.512    1
68-42-25-671254-001-01 7221  23.9111.412    1
52-44-88-571266-001-02 2111  38.3150.312    1
52-44-88-571266-001-02 321             2    1
52-44-88-571266-001-02 421             2    1
52-44-88-571266-001-02 5121  29.1146.812    1
52-44-88-571266-001-02 7221    12   8611  171
73-02-97-011268-001-01 121             2    1
73-02-97-011268-001-01 2111  75.3167.512    1
73-02-97-011268-001-01 3221  23.5124.212    1
73-02-97-011268-001-01 4221  10.4 74.91114.91
73-02-97-011268-001-01 5221   3.6   6611  111
73-02-97-011268-001-01 6111  51.2158.712    1
73-02-97-011268-001-01 721             2    1
79-77-16-341269-001-01 121             2    1
79-77-16-341269-001-01 2111  54.5149.812    1
79-77-16-341269-001-01 3221  24.9127.612    1
79-77-16-341269-001-01 4221  34.8144.712    1
79-77-16-341269-001-01 5111  54.2160.822    1
65-64-26-921270-001-01 121             2    1
65-64-26-921270-001-01 2111  62.7152.512    1
65-64-26-921270-001-01 32221           2    1
65-64-26-921270-001-01 4221  10.2 82.511  171
03-76-88-351272-001-01 121             2    1
03-76-88-351272-001-01 2111  83.9148.412    1
03-76-88-351272-001-01 3221  42.9138.112    1
03-76-88-351272-001-01 41121           2    1
03-76-88-351272-001-01 521             2    1
03-76-88-351272-001-01 621             2    1
03-76-88-351272-001-01 7221  24.2127.612    1
03-76-88-351272-001-01 821             2    1
11-63-34-921273-001-01 121             2    1
11-63-34-921273-001-01 2111  47.2151.812    1
11-63-34-921273-001-01 311             2    1
11-63-34-921273-001-01 41121           2    1
11-63-34-921273-001-01 5111  47.5148.912    1
11-63-34-921273-001-01 621             2    1
11-63-34-921273-001-01 721             2    1
11-63-34-921273-001-01 9221   8.6 83.921  131
25-92-53-561285-001-02 121             2    1
25-92-53-561285-001-02 2111  56.9160.312    1
25-92-53-561285-001-02 3221  20.3116.512    1
25-92-53-561285-001-02 42223           1    1
25-92-53-561285-001-02 5111  53.4149.412    1
53-55-81-031286-001-01 1111  52.9161.512    1
53-55-81-031286-001-01 2221    14 94.711  161
53-55-81-031286-001-01 321             2    1
55-53-11-051287-001-01 121             2    1
55-53-11-051287-001-01 21121           2    1
55-53-11-051287-001-01 32221           2    1
55-53-11-051287-001-01 52221           1    1
26-82-27-991289-001-01 121             2    1
26-82-27-991289-001-01 221             2    1
26-82-27-991289-001-01 321             2    1
26-82-27-991289-001-01 4111  50.6151.412    1
26-82-27-991289-001-01 521             2    1
26-82-27-991289-001-01 6221  35.2143.712    1
26-82-27-991289-001-01 7221  19.9104.711    1
26-82-27-991289-001-01 82224           1    1
21-58-01-131290-001-01 121             2    1
21-58-01-131290-001-01 2111  90.1164.112    1
21-58-01-131290-001-01 321             2    1
21-58-01-131290-001-01 42221           2    1
21-58-01-131290-001-01 5221  15.9107.51114.81
10-52-94-981291-001-01 121             2    1
10-52-94-981291-001-01 2111  97.2153.412    1
10-52-94-981291-001-01 3111  72.8164.512    1
10-52-94-981291-001-01 421             2    1
10-52-94-981291-001-01 5221  32.3  12812    1
65-52-72-291294-001-01 121             2    1
65-52-72-291294-001-01 2111  42.2156.312    1
65-52-72-291294-001-01 3221    10 78.12117.51
37-29-66-641304-001-01 1111  64.7157.212    1
28-24-87-551305-001-01 121             2    1
66-65-33-221306-001-01 1111  60.9161.312    1
66-65-33-221306-001-01 2111  50.5158.212    1
66-65-33-221306-001-01 321             2    1
56-76-03-181307-001-01 121             2    1
56-76-03-181307-001-01 221             2    1
56-76-03-181307-001-01 321             2    1
96-10-67-721309-001-01 121             2    1
96-10-67-721309-001-01 2111  71.4158.112    1
