68-38-43-941043-001-011012 22   2  2    2   2  2   2   
68-38-43-941043-001-01112                              
51-52-11-491044-001-01 111  2   2  2    2   2  1  12   
51-52-11-491044-001-01 412 12   2  2    2   2  2   2   
51-52-11-491044-001-01 512 12   2  2    2   2  2   2   
36-76-76-331045-001-01 111  2   2  2    2   2  2   2   
36-76-76-331045-001-01 211  2   2  2    2   2  2   2   
68-51-31-951058-001-01 112 22   2  2    2   2  2   2   
68-51-31-951058-001-01 211  2   2  1   12   2  1  42   
68-51-31-951058-001-01 312 22   2  2    2   2  1  32   
68-51-31-951058-001-01 412 22   2  2    2   2  2   2   
68-51-31-951058-001-01 52                              
68-51-31-951058-001-01 62                              
68-51-31-951058-001-01 72                              
71-14-80-871059-001-01 111  2   2  2    2   2  2   2   
71-14-80-871059-001-01 211  2   2  2    2   2  2   1  4
71-14-80-871059-001-01 611  2   2  2    2   2  2   2   
71-14-80-871059-001-01 711  2   2  2    2   2  1  71  4
71-14-80-871059-001-01 912 12   2  2    2   2  2   2   
71-14-80-871059-001-011612 12   2  2    2   2  1  71  1
71-14-80-871059-001-011712 12   2  2    2   2  2   2   
71-14-80-871059-001-01182                              
71-14-80-871059-001-01192                              
71-14-80-871059-001-012011  2   2  2    2   2  1  41  4
71-14-80-871059-001-012111  2   2  2    2   2  1  21  3
71-14-80-871059-001-012212 12   2  2    2   2  2   2   
71-14-80-871059-001-012312 12   2  2    2   2  2   2   
71-14-80-871059-001-012412 12   2  2    2   2  2   2   
71-14-80-871059-001-01252                              
79-06-68-491059-001-03 111  2   2  2    2   2  1  31  3
79-06-68-491059-001-03 212 12   2  2    2   2  1  11  4
79-06-68-491059-001-03 312 12   2  2    2   2  2   2   
79-06-68-491059-001-03 411  2   2  2    2   2  1  31  2
79-06-68-491059-001-03 512 12   2  2    2   2  1  11  4
79-06-68-491059-001-03 62                              
79-06-68-491059-001-03 72                              
79-06-68-491059-001-03 812 12   2  2    2   2  2   2   
79-06-68-491059-001-03 912 12   2  2    2   2  2   2   
79-06-68-491059-001-03102                              
79-06-68-491059-001-03112                              
79-06-68-491059-001-03122                              
79-06-68-491059-001-03132                              
71-40-42-061059-001-06 111  2   2  2    2   2  2   2   
71-40-42-061059-001-06 211  2   2  2    2   2  1  41  3
71-40-42-061059-001-06 311  2   2  2    2   2  1  21  2
71-40-42-061059-001-06 412 12   2  2    2   2  2   2   
71-40-42-061059-001-06 511  2   2  2    2   2  1  31  2
71-40-42-061059-001-06 612 12   2  2    2   2  1  31  2
71-40-42-061059-001-06 712 12   2  2    2   2  1  42   
71-40-42-061059-001-06 812 12   2  2    2   2  1  22   
71-40-42-061059-001-06 912 12   2  2    2   2  2   2   
71-40-42-061059-001-061012 12   2  2    2   2  2   2   
71-40-42-061059-001-061112 12   2  2    2   2  2   2   
71-40-42-061059-001-06122                              
71-40-42-061059-001-06132                              
27-54-41-371060-001-01 112 22   2  2    2   2  2   2   
27-54-41-371060-001-01 211  2   2  2    2   2  2   2   
27-54-41-371060-001-01 511  2   2  2    2   2  1  41  3
50-50-37-471061-001-03 112 22   2  2    2   2  2   2   
50-50-37-471061-001-03 211  2   2  2    2   2  1  51  1
50-50-37-471061-001-03 32                              
50-50-37-471061-001-03 42                              
50-50-37-471061-001-03 511  2   2  2    2   2  2   1  3
50-50-37-471061-001-03 612 52   2  2    2   2  2   2   
50-50-37-471061-001-03 712 52   2  2    2   2  2   2   
50-50-37-471061-001-03 812 52   2  2    2   2  2   2   
25-09-89-031062-001-01 112 22   2  2    2   2  2   2   
25-09-89-031062-001-01 211  2   2  2    2   2  2   2   
25-09-89-031062-001-01 312 22   2  2    2   2  2   2   
25-09-89-031062-001-01 412 22   2  2    2   2  1  61  2
25-09-89-031062-001-01 512 22   2  1   12   2  2   1  2
25-09-89-031062-001-01 612 22   2  2    2   2  2   1  1
25-09-89-031062-001-01 712 22   2  2    2   2  2   2   
25-09-89-031062-001-01 82                              
21-11-75-861063-001-01 111  2   2  2    2   2  2   2   
21-11-75-861063-001-01 211  2   2  2    2   2  2   2   
21-11-75-861063-001-01 311  2   2  2    2   2  1  62   
21-11-75-861063-001-01 412 12   2  2    2   2  2   2   
21-11-75-861063-001-01 512 12   2  2    2   2  2   2   
21-11-75-861063-001-01 612 12   2  2    2   2  2   2   
21-11-75-861063-001-01 712 12   2  2    2   2  2   2   
21-11-75-861063-001-01 811  2   2  1   12   2  1  61  3
21-11-75-861063-001-01 92                              
21-11-75-861063-001-011012 82   2  2    2   2  2   2   
21-11-75-861063-001-011112 82   2  2    2   2  2   2   
21-11-75-861063-001-011212 82   2  2    2   2  2   2   
21-11-75-861063-001-011312 12   2  2    2   2  2   2   
63-59-38-211064-001-01 111  2   2  2    2   2  1  71  3
63-59-38-211064-001-01 312 12   2  2    2   2  2   2   
63-59-38-211064-001-01 42                              
51-70-28-891076-001-01 111  2   2  2    2   2  1  12   
51-70-28-891076-001-01 211  2   2  2    2   2  1  31  4
51-70-28-891076-001-01 312 12   2  2    2   2  1  12   
51-70-28-891076-001-01 412 12   2  2    2   2  2   2   
45-88-08-271077-001-01 111  2   2  2    2   2  2   2   
45-88-08-271077-001-01 311  2   2  2    2   2  1  31  2
45-88-08-271077-001-01 412 62   2  2    2   2  2   2   
45-88-08-271077-001-01 512 62   2  2    2   2  2   2   
45-88-08-271077-001-01 611  2   2  1   12   2  1  31  2
