30-62-71-961406-001-0112212272211222224 5 6  180000       0       0   2          1  2
75-86-61-781407-001-0122212242211222224 5     45000       0       0   2          1  2
92-41-29-591419-001-0112112272211222223 6         0       0       0   115    2019   2
59-62-66-411420-001-0112122221222222221 6         0       0       0   1 816  2015   2
66-75-13-741421-001-0112112241221222224 8         0       0       0   2          1  1
02-60-89-241423-001-0122212272221222224 6         0       0       0   2          1  2
70-81-74-671424-001-0212222272211222224 5         0       0       0   2          1  2
65-53-60-991425-001-0112222221221222224 4 8       0       0       0   2          1  2
70-80-85-681426-001-0112112271211222221 5   2760000       0       0   1 8    2017   2
25-65-44-581426-001-0212222272221222214 5 8       0       0       0   2          1  1
56-90-29-761429-001-0112112272221222224 6         0       0       0   2          1  1
21-52-23-441437-001-0112112221211222221 5         0       0       0   2          1  2
67-61-05-721438-001-0112212272221222224 5 6       0       0       0   1 1    2000   2
95-38-40-321438-001-0322212271211212216 5         0       0       0   2          1  2
70-27-56-401439-001-0112212221111112224 5 6 1200000       0       0   2          1  2
46-65-19-641440-001-0122112221221221224 6         0       0       0   2          1  2
88-14-25-671441-001-0112112212211222224 5         0       0       0   2          1  2
67-65-23-891442-001-0112212241211222224 6         0       0       0   2          1  2
69-48-33-221443-001-0122112272212222223 5     40000       0       0   2          1  2
16-57-70-851457-001-0122212271211122221 5         0       0       0   2          1  2
58-46-90-091458-001-0212222242212222224 6         0       0       0   2          1  2
42-90-48-151459-001-0112212271211222223 5         0       0       0   2          1  2
79-50-93-441462-001-0122112231111222221 6         0       0       0   121    2016   2
68-31-48-591463-001-011222227221122222310    480000 4320000       0   116    2002   2
25-84-63-251476-001-0122212271221222224 5         0       0       0   116    1996   2
69-52-20-711477-001-0122122242222221226 6         0       0       0   1 9    2012   2
64-13-92-401478-001-0122112272211121225 6         0       0       0   1 8    2007   2
80-46-40-501481-001-0122112221 1      1 6         0       0       0   125    1997   2
26-46-51-961483-001-01 1    21211122221 5         0       0       0   1 318  2012   1
42-63-63-441486-001-0222122241211222221 6         0       0       0   2          1  2
22-20-15-101494-001-0122112271222222127 7    240000       0       0   2          17 2
24-01-19-771495-001-01222222            6         0       0       0   2          1  2
65-01-04-421497-001-0122112211221222221 6 7  900000       0 3000000   116    2012   2
99-86-57-881498-001-0112212241211112221 5         0       0       0   1 8    2017   2
20-57-87-381499-001-0122122221212222223 6         0       0       0   116    2018   2
25-65-66-841500-001-0112212272212222223 6         0       0       0   2          1  1
54-73-26-731500-001-0222212241222222221 6         0       0       0   2          1  2
20-20-25-341500-001-03222222            6         0       0       0   2          1  2
81-38-85-461501-001-01222222            8         0       0       0   2          1  1
