12-34-68-201262ffb3f7c24d3f8bcfe3e27c76c33e2021-02-25T09:24:07 7 71 212  3       18**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**                   144441134
12-43-07-80b6946418f07e4feeaa4ed83dd4a675422021-10-07T10:29:0312128 232  3        5**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-07T08:32:31111111111
12-87-61-13486c019ffbda4c5aa98114aa9bdb81fc2021-01-23T09:43:2225255  13  3        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-23T06:45:13111433334
12-90-48-3461e9dde626924887a8acd2fd4583d0ee2021-07-26T11:25:2353531 323  3      301**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-26T08:25:46444114414
13-10-41-093d15d079ce3347dcbd443b7eaaf654262021-03-30T09:26:5253531 292  2        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-30T06:27:03444114414
13-42-52-9925168cf5198a4bbf863b5011fe0596bb2021-01-05T10:36:24 5 55  52 10        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-05T08:14:07444331334
13-43-11-9847e5a514e372463581b9df8779aabf312021-11-21T11:24:2221213 262  2        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-21T08:51:45111143344
13-75-01-91ebe20bc5bc7c4e68b57e2f1c6090c08e2021-03-08T10:00:41 7 72 212  2       48**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-08T08:34:42144444344
13-86-41-701dae3cc3f13645798704c27e6a1c57722021-10-04T13:45:1018182 161  3        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-10-04T11:33:27111143334
13-90-90-4675239c4f0b424430a36ff97d2f18507b2021-03-04T10:00:3251512 121  1        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-04T07:00:43444114414
13-91-33-31eada5d2637e2453c9b94b1138850b7252021-11-22T14:24:2118185 111  5        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-22T11:24:59111411134
14-25-36-1159e8a1477c2e4cd8a82359140295ebec2021-05-10T12:02:1111112 261  5        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-10T10:55:32111111114
14-78-98-65219c4558fe794d93b25cdaa6f45898b72021-07-05T08:48:3519193 101  1        8**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-05T05:48:31111111111
