45-88-08-271077-001-01 6   0        2  2                
45-88-08-271077-001-01 7   0        2  2                
45-88-08-271077-001-01 8   0        2  2                
45-88-08-271077-001-01 9   0        2  2                
45-88-08-271077-001-0110   0        2  2                
45-88-08-271077-001-0111   0        2  2                
45-88-08-271077-001-0112   0        2  2                
45-88-08-271077-001-0113   0        2  2                
45-88-08-271077-001-0114   0        2  2                
45-88-08-271077-001-0115   0        2  2                
83-42-33-561078-001-01 1   2    400011 2                
83-42-33-561078-001-01 2   0        2  2                
83-42-33-561078-001-01 3   0        2  2                
83-42-33-561078-001-01 4   0        2  2                
83-42-33-561078-001-01 5   0        2  2                
83-42-33-561078-001-01 6   0        2  1     1 21 105000
83-42-33-561078-001-01 7   0        2  2                
83-42-33-561078-001-01 8   0        2  2                
83-42-33-561078-001-01 9   0        2  2                
83-42-33-561078-001-0110   0        2  2                
83-42-33-561078-001-0111   0        2  2                
83-42-33-561078-001-0112   0        2  2                
83-42-33-561078-001-0113  12   1500011 2                
83-42-33-561078-001-0114   0        2  2                
83-42-33-561078-001-0115   0        2  2                
51-38-42-661079-001-01 1   2   1500011 2                
51-38-42-661079-001-01 2   1   2000011 2                
51-38-42-661079-001-01 3   0        2  1     1 21  30000
51-38-42-661079-001-01 4   0        2  2                
51-38-42-661079-001-01 5   0        2  2                
51-38-42-661079-001-01 6   0        2  1     1 31  30000
51-38-42-661079-001-01 7   0        2  2                
51-38-42-661079-001-01 8   0        2  2                
51-38-42-661079-001-01 9   0        2  1     1 31   8000
51-38-42-661079-001-0110   0        2  2                
51-38-42-661079-001-0111   0        2  2                
51-38-42-661079-001-0112   0        2  2                
51-38-42-661079-001-0113   0        2  2                
51-38-42-661079-001-0114   0        2  2                
51-38-42-661079-001-0115   0        2  2                
70-13-86-621080-001-01 1   2   2000011 2                
70-13-86-621080-001-01 2   0        2  2                
70-13-86-621080-001-01 3   0        2  2                
70-13-86-621080-001-01 4   0        2  2                
70-13-86-621080-001-01 5   0        2  2                
70-13-86-621080-001-01 6   0        2  2                
70-13-86-621080-001-01 7   0        2  2                
70-13-86-621080-001-01 8   0        2  2                
70-13-86-621080-001-01 9   0        2  2                
70-13-86-621080-001-0110   0        2  2                
70-13-86-621080-001-0111   0        2  2                
70-13-86-621080-001-0112   0        2  2                
70-13-86-621080-001-0113   0        2  2                
70-13-86-621080-001-0114   0        2  2                
70-13-86-621080-001-0115   0        2  2                
15-64-51-681081-001-01 1   2   1000011 2                
15-64-51-681081-001-01 2   0        2  1     1 11      0
15-64-51-681081-001-01 3   0        2  1     1 21  20000
15-64-51-681081-001-01 4   0        2  2                
15-64-51-681081-001-01 5   0        2  2                
15-64-51-681081-001-01 6   0        2  2                
15-64-51-681081-001-01 7   0        2  2                
15-64-51-681081-001-01 8   0        2  2                
15-64-51-681081-001-01 9   0        2  2                
15-64-51-681081-001-0110   0        2  2                
15-64-51-681081-001-0111   0        2  2                
15-64-51-681081-001-0112   0        2  2                
15-64-51-681081-001-0113   0        2  2                
15-64-51-681081-001-0114   0        2  2                
15-64-51-681081-001-0115   0        2  1     2 21      0
40-74-76-771082-001-01 1   2   1000011 2                
40-74-76-771082-001-01 2   0        2  2                
40-74-76-771082-001-01 3   0        2  2                
