01-58-42-071988-001-01 1MAHINDI          111 1 11                          2561  3202                                 1 36000
01-58-42-071988-001-01 2MAHINDI          112 9 11                           641  3202                                 2      
32-78-55-351988-001-06 1MAHINDI          111 1 11                          1441  1802                                 1  9000
32-78-55-351988-001-06 2MAHINDI          112 9 11                           361  1802                                 1  9000
25-96-98-141988-001-07 1MAHINDI          111 1 11                          1901  2202                                 1 11000
25-96-98-141988-001-07 2MAHINDI          112 9 11                           251  2202                                 1 11000
25-96-98-141988-001-07 3VIAZI MVIRINGO   231 8 23                          3001  4002                                 2      
25-96-98-141988-001-07 4VIAZI MVIRINGO   23214 23                          1001  4002                                 2      
08-18-13-461989-001-01 1MAHINDI          111 1 11                          2701  3402                                 1 40000
08-18-13-461989-001-01 2MAHINDI          112 9 11                           681  3402                                 2      
19-52-92-511990-001-01 1MAHINDI          111 1 11                          2721  2802                                 1 28000
19-52-92-511990-001-01 2MAHINDI          112 9 11                           281  2802                                 2      
21-07-86-971992-001-01 1MAHINDI          111 1 11 31                        661   762                                 1  4000
21-07-86-971992-001-01 2MAHINDI          112 9 11 31                        101   762                                 2      
57-66-23-771993-001-01 1MAHINDI          111 1 11                           751   902                                 1  7500
57-66-23-771993-001-01 2ALIZETI          411 1 41                           251   302                                 2      
57-66-23-771993-001-01 3MAHINDI          112 9 11                           151   902                                 2      
86-15-44-911994-001-03 1MAHINDI          111 1 11                          9761 12202                                 1 79300
48-18-40-432007-001-01 1MAHINDI          111 1 11                          9851 10182                                 1 20000
48-18-40-432007-001-01 2MAHINDI          112 9 11                           331 10182                                 2      
23-38-07-812008-001-01 1MAHINDI          111 1 11                           901  1002                                 1 10000
23-38-07-812008-001-01 2MAHINDI          112 9 11                           101  1002                                 2      
31-46-39-262009-001-01 1MAHINDI          111 1 11                          1401  2002                                 1 10500
31-46-39-262009-001-01 2MAHINDI          112 9 11                           601  2002                                 2      
36-61-47-762009-001-06 1MAHINDI          111 1 11                           901   902                                 1  5000
27-69-09-192010-001-01 1MAHINDI          111 1 11                          1441  1602                                 1 16000
27-69-09-192010-001-01 2MAHINDI          112 9 11                           241  1602                                 2      
67-18-23-872011-001-01 1MAHINDI          111 1 11                          2161  2702                                 1 30000
67-18-23-872011-001-01 2MAHINDI          112 9 11                           541  2702                                 2      
23-38-22-852012-001-01 1MAHINDI          112 9 11                           601  2362                                 2      
28-82-13-872014-001-01 1MAHINDI          111 1 11                           901  1352                                 1 30000
28-82-13-872014-001-01 2MAHINDI          112 9 11                           451  1352                                 2      
95-44-14-692014-001-02 1MAHINDI          111 1 11                          1351  1802                                 1 20000
95-44-14-692014-001-02 2MAHINDI          112 9 11                           451  1801   451   180 2  2     200001211212      
62-10-06-922027-001-01 1MAHINDI          111 1 11                          1441  3242                                 1 18000
42-38-34-362028-001-01 1MAHINDI          111 1 11                           881   902                                 1  7500
83-09-48-582029-001-01 1MAHINDI          111 1 11                           801   202                                 1  3000
83-09-48-582029-001-01 2MAHINDI          112 9 11                           201  1082                                 2      
44-32-20-342030-001-01 1MAHINDI          111 1 11                         12801 16002                                 1120000
44-32-20-342030-001-01 2MAHINDI          112 9 11                          3201 16002                                 2      
86-02-52-322031-001-01 1MAHINDI          111 1 11                          2901  3602                                 1 27000
86-02-52-322031-001-01 2MAHINDI          112 9 11                           701  3602                                 2      
68-75-40-962033-001-01 1MAHINDI          111 1 11 12 41 74                  681   712                                 1  8000
68-75-40-962033-001-01 2MAHINDI          112 9 11 12 41 74                   21   712                                 2      
68-75-40-962033-001-01 3ALIZETI          411 3 11 12 41 74                 1002  5601   902   480 12 1 2  5400001611611 35000
68-75-40-962033-001-01 4ALIZETI          41210 11 12 41 74                 2001  5602                                 2      
68-75-40-962033-001-01 5MPUNGA           121 2 11 12 41                    3151  5602                                 1 35000
68-75-40-962033-001-01 6MPUNGA           12211 11 12 41                     501  5602                                 2      
19-73-12-232045-001-02 1MAHINDI          111 1 11                          1081  1182                                 1 14000
19-73-12-232045-001-02 2MAHINDI          112 9 11                           211  1082                                 2      
62-61-78-732046-001-01 1MAHINDI          111 1 11                          2401  3002                                 1 22500
62-61-78-732046-001-01 2MAHINDI          112 9 11                           601  3002                                 2      
37-38-65-382047-001-01 1MAHINDI          111 1 11                          1301  1602                                 1 28000
37-38-65-382047-001-01 2MAHINDI          112 9 11                           301  1602                                 2      
51-19-63-662048-001-01 1MAHINDI          111 1 11                          2521  2802                                 1 28000
68-42-20-722049-001-01 1MAHINDI          111 1 11204                       3401  3602                                 1 10000
68-42-20-722049-001-01 2MAHINDI          112 9 11204                        201  3602                                 2      
08-25-98-682050-001-02 1MAHINDI          111 1 11                          2101  2802                                 1 12000
08-25-98-682050-001-02 2MAHINDI          112 9 11                           701  2802                                 2      
97-07-45-242051-001-01 1MAHINDI          111 1 11                          1151  1442                                 1 12000
97-07-45-242051-001-01 2MAHINDI          112 9 11                           291  1442                                 2      
71-98-45-442052-001-01 1MAHINDI          111 1 11 31204                     901   982                                 1 10000
71-98-45-442052-001-01 2MAHINDI          112 9 11 31204                      81   982                                 2      
17-99-58-672065-001-01 1MAHINDI          111 1 11                          2401  2402                                 1 24000
77-92-16-672066-001-01 1MAHINDI          111 1 11                          3151  3152                                 1 31500
35-93-00-792068-001-01 1MAHINDI          111 1 11                          2901  3002                                 1  3000
53-91-30-092069-001-01 1MAHINDI          111 1 11                           881   882                                 1  9000
98-95-98-622070-001-01 1MUHOGO           211 1 21                          1691  2402                                 1  6000
13-66-67-952072-001-01 1MAHINDI          111 1 11                           521   722                                 1  4000
13-66-67-952072-001-01 2MAHINDI          112 9 11                           201   722                                 2      
24-27-78-932083-001-01 1MAHINDI          111 1 11                           901   952                                 1  9000
51-49-82-492083-001-03 1MAHINDI          111 1 11                           281   302                                 1  3000
